epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
82,12882.4,1.35878,1.03653,1.20847,0.74401,0.64304,0.69927,0.40109,1.47242,1.01557,1.23543,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,13086.7,1.35748,1.03751,1.19911,0.74187,0.64339,0.69945,0.40181,1.47125,1.01443,1.23493,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,13291.2,1.35144,1.02529,1.19913,0.74083,0.64196,0.69975,0.40216,1.46971,1.0138,1.23403,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,13494.6,1.34859,1.02266,1.19749,0.74626,0.64071,0.70001,0.40264,1.46888,1.01307,1.23389,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,13698.2,1.34813,1.00593,1.19741,0.74711,0.63929,0.70011,0.4029,1.46817,1.01257,1.23401,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,13907,1.33945,1.00718,1.19426,0.74935,0.63821,0.70089,0.40382,1.46728,1.01135,1.23386,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,14112,1.33694,1.01361,1.1942,0.74919,0.63848,0.70161,0.40438,1.46592,1.00944,1.23359,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,14316.4,1.3449,1.00883,1.19413,0.74907,0.63946,0.70123,0.40438,1.4649,1.00803,1.23333,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,14519.4,1.33786,1.00805,1.19434,0.75191,0.6381,0.70218,0.4052,1.46387,1.00639,1.23276,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,14723.3,1.33115,0.99722,1.18568,0.75014,0.63893,0.70304,0.40578,1.46358,1.00565,1.23246,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,14929.1,1.32864,0.99262,1.18479,0.75307,0.63937,0.70424,0.40658,1.4624,1.00449,1.23212,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,15134.8,1.3246,0.99117,1.18555,0.75281,0.63845,0.70426,0.40727,1.46134,1.00353,1.23183,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,15341.8,1.32575,0.99053,1.1856,0.75328,0.63804,0.70381,0.40736,1.46056,1.00247,1.23113,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,15546,1.32259,0.97813,1.18113,0.75253,0.64107,0.7047,0.40812,1.46009,1.00156,1.23122,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,15750.3,1.3177,0.97687,1.17932,0.74716,0.64801,0.70607,0.4085,1.45897,1.00069,1.23045,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,15955.6,1.31204,0.97406,1.17619,0.74299,0.65339,0.70656,0.40938,1.45846,0.99978,1.22981,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,16161,1.31017,0.968,1.17591,0.74388,0.65286,0.70661,0.40998,1.45776,0.99886,1.22981,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,16365.1,1.30607,0.95781,1.17381,0.7432,0.65357,0.70671,0.41048,1.45707,0.99746,1.23007,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
